rosbagTimestamp,optimal_a,u_intended,normalized_h,u_corrected,is_corrected_or_filtered,is_u_intended_equals_um
9.47201681137,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.47720265388,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.4817969799,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.48686647415,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.49283981323,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.49795842171,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.50425696373,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.51073312759,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.51709771156,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.5224108696,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.52850317955,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.53481578827,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.53934168816,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.54570269585,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.55121469498,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.55600953102,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.56071519852,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.56749725342,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.5722899437,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.57774186134,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.58335781097,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.58889770508,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.59379529953,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.60074973106,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.60552430153,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.69478130341,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.70591282845,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.7111685276,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.71623730659,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.72087717056,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.72653865814,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.73159813881,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.73679208755,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.74185276031,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.74811911583,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.75392913818,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.76084518433,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.76644611359,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.77126932144,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.77728223801,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.78256201744,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.78819680214,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.79503750801,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.8003745079,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.80519795418,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.81285309792,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.81798672676,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.82308387756,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
9.82890725136,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
12.409101963,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
12.4141209126,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
12.4186387062,"""mode_l""","""Hard Sip""",0.174606818469,"""Hard Sip""",True,False
